packageNum_Ana,patlama1,patlama2,Irtifa_basinc_Ana,GPSIrtifa_Ana,basinc_Ana,X_jiro,Y_jiro,Z_jiro,X_ivme,Y_ivme,Z_ivme,Aci_Ana,GPSe_Ana,GPSb_Ana,GPSSatNum_ana,packageNum_Gorev,GPSIrtifa_Gorev,sicaklik_Gorev,nem_Gorev,basinc_Gorev,GPSe_Gorev,GPSb_Gorev,GPSSatNum_Gorev
86,0,0,911.074523,0.000000,908.500000,354.312500,-1.187500,-3.562500,0.000000,0.000000,0.000000,-1.187500,0.000000,0.000000,0,146,0.000000,30.031213,28.937793,90909.000000,0.000000,0.000000,0
86,0,0,911.074523,0.000000,908.500000,354.312500,-1.187500,-3.562500,0.000000,0.000000,0.000000,-1.187500,0.000000,0.000000,0,146,0.000000,30.031213,28.937793,90909.000000,0.000000,0.000000,0
87,0,0,911.074523,0.000000,908.510009,354.312500,-1.187500,-3.562500,-0.590000,9.340001,0.210000,-1.187500,0.000000,0.000000,0,146,0.000000,30.031213,28.937793,90909.000000,0.000000,0.000000,0
87,0,0,911.074523,0.000000,908.510009,354.312500,-1.187500,-3.562500,-0.590000,9.340001,0.210000,-1.187500,0.000000,0.000000,0,146,0.000000,30.031213,28.937793,90909.000000,0.000000,0.000000,0
87,0,0,911.074523,0.000000,908.510009,354.312500,-1.187500,-3.562500,-0.590000,9.340001,0.210000,-1.187500,0.000000,0.000000,0,147,0.000000,30.031528,28.949254,90909.000000,0.000000,0.000000,0
87,0,0,911.074523,0.000000,908.510009,354.312500,-1.187500,-3.562500,-0.590000,9.340001,0.210000,-1.187500,0.000000,0.000000,0,147,0.000000,30.031528,28.949254,90909.000000,0.000000,0.000000,0
87,0,0,911.074523,0.000000,908.510009,354.312500,-1.187500,-3.562500,-0.590000,9.340001,0.210000,-1.187500,0.000000,0.000000,0,147,0.000000,30.031528,28.949254,90909.000000,0.000000,0.000000,0
87,0,0,911.074523,0.000000,908.510009,354.312500,-1.187500,-3.562500,-0.590000,9.340001,0.210000,-1.187500,0.000000,0.000000,0,147,0.000000,30.031528,28.949254,90909.000000,0.000000,0.000000,0
87,0,0,911.074523,0.000000,908.510009,354.312500,-1.187500,-3.562500,-0.590000,9.340001,0.210000,-1.187500,0.000000,0.000000,0,147,0.000000,30.031528,28.949254,90909.000000,0.000000,0.000000,0
87,0,0,911.074523,0.000000,908.510009,354.312500,-1.187500,-3.562500,-0.590000,9.340001,0.210000,-1.187500,0.000000,0.000000,0,148,0.000000,30.026184,28.948795,90908.000000,0.000000,0.000000,0
87,0,0,911.074523,0.000000,908.510009,354.312500,-1.187500,-3.562500,-0.590000,9.340001,0.210000,-1.187500,0.000000,0.000000,0,148,0.000000,30.026184,28.948795,90908.000000,0.000000,0.000000,0
87,0,0,911.074523,0.000000,908.510009,354.312500,-1.187500,-3.562500,-0.590000,9.340001,0.210000,-1.187500,0.000000,0.000000,0,148,0.000000,30.026184,28.948795,90908.000000,0.000000,0.000000,0
88,0,0,911.074523,0.000000,908.500000,354.312500,-1.187500,-3.562500,-0.590000,9.380001,0.210000,-1.187500,0.000000,0.000000,0,148,0.000000,30.026184,28.948795,90908.000000,0.000000,0.000000,0
88,0,0,911.074523,0.000000,908.500000,354.312500,-1.187500,-3.562500,-0.590000,9.380001,0.210000,-1.187500,0.000000,0.000000,0,148,0.000000,30.026184,28.948795,90908.000000,0.000000,0.000000,0
88,0,0,911.074523,0.000000,908.500000,354.312500,-1.187500,-3.562500,-0.590000,9.380001,0.210000,-1.187500,0.000000,0.000000,0,149,0.000000,30.028697,28.949016,90908.000000,0.000000,0.000000,0
88,0,0,911.074523,0.000000,908.500000,354.312500,-1.187500,-3.562500,-0.590000,9.380001,0.210000,-1.187500,0.000000,0.000000,0,149,0.000000,30.028697,28.949016,90908.000000,0.000000,0.000000,0
